,index,Date,Close,ma_5,ma_10,ma_20,ma_30,ma_60,ma_180,ma_240,ma_360,Gold,Nasdaq_Comp,SP500,INDU,Oil,Btc_diff,Gold_diff,Nasdaq_diff,SP500_diff,INDU_diff,Oil_diff,Btc_diffpct,Gold_diffpct,Nasdaq_diffpct,SP500_diffpct,INDU_diffpct,Oil_diffpct
0,3,2012-01-03,5.32,4.975,4.975,4.975,4.975,4.975,4.975,4.975,4.975,47.51,2648.72,1277.06,12397.38,43.9707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,4,2012-01-04,5.57,5.093999999999999,5.093999999999999,5.093999999999999,5.093999999999999,5.093999999999999,5.093999999999999,5.093999999999999,5.093999999999999,48.22,2648.36,1277.3,12418.42,44.85,0.25,0.7100000000000009,-0.3599999999996726,0.2400000000000091,21.040000000000873,0.8793000000000006,0.046992481203007516,0.01494422226899602,-0.00013591470597106248,0.00018793165552128256,0.0016971327812812767,0.01999740736444952
2,5,2012-01-05,6.65,5.508,5.353333333333333,5.353333333333333,5.353333333333333,5.353333333333333,5.353333333333333,5.353333333333333,5.353333333333333,48.02,2669.86,1281.06,12415.7,44.85,1.08,-0.19999999999999574,21.5,3.759999999999991,-2.719999999999345,0.0,0.1938958707360862,-0.004147656574035582,0.00811823166034829,0.002943709386988171,-0.00021902947395879228,0.0
3,6,2012-01-06,6.9,5.888,5.574285714285714,5.574285714285714,5.574285714285714,5.574285714285714,5.574285714285714,5.574285714285714,5.574285714285714,47.54,2674.22,1277.81,12359.92,44.85,0.25,-0.480000000000004,4.359999999999673,-3.25,-55.780000000000655,0.0,0.03759398496240601,-0.009995835068721448,0.0016330444292957955,-0.0025369615786926454,-0.004492698760440463,0.0
4,9,2012-01-09,6.9,6.85,5.9719999999999995,5.9719999999999995,5.9719999999999995,5.9719999999999995,5.9719999999999995,5.9719999999999995,5.9719999999999995,47.71,2676.56,1280.7,12392.69,44.85,0.0,0.1700000000000017,2.3400000000001455,2.8900000000001,32.77000000000044,0.0,0.0,0.003575936053849426,0.0008750215015967817,0.002261682096712422,0.0026513116589751743,0.0
5,10,2012-01-10,7.14,6.948,6.228,6.078181818181818,6.078181818181818,6.078181818181818,6.078181818181818,6.078181818181818,6.078181818181818,48.33,2702.5,1292.08,12462.47,44.85,0.23999999999999932,0.6199999999999974,25.940000000000055,11.379999999999882,69.77999999999884,0.0,0.03478260869565208,0.012995179207713214,0.009691544370385888,0.008885765596939082,0.005630738766159634,0.0
6,11,2012-01-11,7.33,7.034000000000001,6.461,6.1825,6.1825,6.1825,6.1825,6.1825,6.1825,48.77,2710.76,1292.48,12449.45,44.85,0.1900000000000004,0.44000000000000483,8.260000000000218,0.40000000000009095,-13.019999999998618,0.0,0.026610644257703136,0.009104076143182389,0.003056429232192495,0.000309578354281539,-0.0010447367175205732,0.0
7,12,2012-01-12,7.38,7.15,6.699,6.274615384615384,6.274615384615384,6.274615384615384,6.274615384615384,6.274615384615384,6.274615384615384,48.81,2724.7,1295.5,12471.02,44.77,0.04999999999999982,0.03999999999999915,13.9399999999996,3.019999999999982,21.56999999999971,-0.0799999999999983,0.006821282401091381,0.0008201763379126337,0.005142469270610308,0.0023365932161425957,0.0017326066613384291,-0.0017837235228539195
8,13,2012-01-13,7.36,7.2219999999999995,6.9030000000000005,6.352142857142857,6.352142857142857,6.352142857142857,6.352142857142857,6.352142857142857,6.352142857142857,48.34,2710.67,1289.09,12422.06,44.77,-0.019999999999999574,-0.46999999999999886,-14.029999999999745,-6.410000000000082,-48.960000000000946,0.0,-0.002710027100270945,-0.009629174349518517,-0.005149190736594761,-0.004947896565032869,-0.003925901810758138,0.0
9,17,2012-01-17,6.9,7.002,7.0760000000000005,6.476666666666667,6.476666666666667,6.476666666666667,6.476666666666667,6.476666666666667,6.476666666666667,48.0,2728.08,1293.67,12482.07,44.07,-0.45999999999999996,-0.3400000000000034,17.409999999999854,4.580000000000155,60.01000000000022,-0.7000000000000028,-0.06249999999999999,-0.0070335126189491805,0.006422766327144158,0.00355289390189991,0.004830921763379039,-0.015635470180924788
10,18,2012-01-18,7.1,6.95,7.086,6.509473684210526,6.509473684210526,6.509473684210526,6.509473684210526,6.509473684210526,6.509473684210526,47.95,2769.71,1308.04,12578.95,44.3,0.1999999999999993,-0.04999999999999716,41.63000000000011,14.36999999999989,96.88000000000102,0.22999999999999687,0.028985507246376708,-0.0010416666666666075,0.015259816427670783,0.011107933244181198,0.007761533143140603,0.0052189698207396615
11,19,2012-01-19,7.0,7.05,7.096000000000001,6.534000000000001,6.534000000000001,6.534000000000001,6.534000000000001,6.534000000000001,6.534000000000001,46.46,2788.33,1314.5,12623.98,44.25,-0.09999999999999964,-1.490000000000002,18.61999999999989,6.460000000000036,45.029999999998836,-0.04999999999999716,-0.014084507042253471,-0.031074035453597538,0.006722725483895386,0.004938686890309193,0.0035797900460689354,-0.001128668171557498
12,20,2012-01-20,6.95,7.010000000000001,7.077,6.652499999999999,6.553809523809524,6.553809523809524,6.553809523809524,6.553809523809524,6.553809523809524,45.83,2786.7,1315.38,12720.48,43.22,-0.04999999999999982,-0.6300000000000026,-1.6300000000001091,0.8800000000001091,96.5,-1.0300000000000011,-0.0071428571428571175,-0.013560051657339702,-0.000584579300154612,0.0006694560669456897,0.007644181945788888,-0.023276836158192118
13,23,2012-01-23,6.52,6.813999999999998,6.882,6.892500000000001,6.572916666666667,6.572916666666667,6.572916666666667,6.572916666666667,6.572916666666667,46.95,2784.17,1316.0,12708.82,43.57,-0.4300000000000006,1.1200000000000045,-2.5299999999997453,0.6199999999998909,-11.659999999999854,0.3500000000000014,-0.06187050359712239,0.02443814095570597,-0.000907883876987026,0.0004713466830876939,-0.0009166320767769656,0.008098102730217525
14,24,2012-01-24,6.57,6.728,6.8889999999999985,6.9425,6.5728,6.5728,6.5728,6.5728,6.5728,45.48,2786.64,1314.65,12675.75,43.2599,0.05000000000000071,-1.470000000000006,2.4699999999998,-1.349999999999909,-33.06999999999971,-0.3100999999999985,0.007668711656441827,-0.03130990415335476,0.0008871584709266315,-0.001025835866261329,-0.0026021298594204427,-0.007117282533853534
15,25,2012-01-25,6.86,6.709999999999999,6.860000000000001,6.953,6.583846153846154,6.583846153846154,6.583846153846154,6.583846153846154,6.583846153846154,48.41,2818.31,1326.06,12756.96,43.0901,0.29000000000000004,2.9299999999999997,31.670000000000073,11.409999999999854,81.20999999999913,-0.16980000000000217,0.04414003044140031,0.06442392260334212,0.01136494129130425,0.008679116114555093,0.006406721495769412,-0.003925113095499577
16,26,2012-01-26,6.3,6.616,6.779999999999999,6.923000000000002,6.573333333333334,6.573333333333334,6.573333333333334,6.573333333333334,6.573333333333334,48.86,2805.28,1318.43,12734.63,43.0901,-0.5600000000000005,0.45000000000000284,-13.029999999999745,-7.629999999999882,-22.329999999999927,0.0,-0.08163265306122455,0.009295600082627616,-0.0046233380997831135,-0.005753887456072789,-0.0017504170272541364,0.0
17,27,2012-01-27,6.03,6.456,6.693,6.8845,6.553928571428572,6.553928571428572,6.553928571428572,6.553928571428572,6.553928571428572,49.51,2816.55,1316.33,12660.46,43.5,-0.2699999999999996,0.6499999999999986,11.269999999999982,-2.1000000000001364,-74.17000000000007,0.4099000000000004,-0.04285714285714279,0.013303315595579178,0.0040174242856328,-0.0015928035618122587,-0.005824276009589606,0.009512625869979424
18,30,2012-01-30,5.58,5.744,6.226999999999999,6.652000000000001,6.510666666666668,6.448387096774194,6.448387096774194,6.448387096774194,6.448387096774194,49.18,2811.94,1313.01,12653.72,43.5,-0.4500000000000002,-0.3299999999999983,-4.610000000000127,-3.3199999999999363,-6.739999999999782,0.0,-0.07462686567164181,-0.006665320137345956,-0.0016367541850846345,-0.002522163895071856,-0.000532366122557931,0.0
19,31,2012-01-31,6.22,5.728,6.172,6.596500000000001,6.551333333333334,6.44125,6.44125,6.44125,6.44125,49.26,2813.84,1312.41,12632.91,43.5,0.6399999999999997,0.0799999999999983,1.900000000000091,-0.599999999999909,-20.80999999999949,0.0,0.11469534050179206,0.0016266775111833732,0.000675690092960764,-0.00045696529348589047,-0.0016445756662862377,0.0
20,32,2012-02-01,5.99,5.720000000000001,6.088,6.526999999999999,6.584333333333334,6.427575757575758,6.427575757575758,6.427575757575758,6.427575757575758,49.26,2848.27,1324.09,12716.46,43.5,-0.22999999999999954,0.0,34.429999999999836,11.679999999999836,83.54999999999927,0.0,-0.03697749196141472,0.0,0.012235948028317116,0.008899657881302212,0.006613678083671875,0.0
21,33,2012-02-02,6.28,5.994,6.064,6.472999999999999,6.616333333333333,6.423235294117648,6.423235294117648,6.423235294117648,6.423235294117648,49.83,2859.68,1325.54,12705.41,43.5,0.29000000000000004,0.5700000000000003,11.409999999999854,1.4500000000000455,-11.049999999999272,0.0,0.048414023372287146,0.011571254567600494,0.0040059404480614035,0.0010950917233723126,-0.0008689525229505124,0.0
22,34,2012-02-03,6.35,6.0840000000000005,6.042000000000001,6.4655000000000005,6.642333333333335,6.421142857142858,6.421142857142858,6.421142857142858,6.421142857142858,49.07,2905.66,1344.9,12862.23,42.51,0.0699999999999994,-0.759999999999998,45.98000000000002,19.360000000000127,156.8199999999997,-0.990000000000002,0.011146496815286528,-0.01525185631145892,0.016078722094779844,0.014605368378170502,0.012342773668854426,-0.02275862068965522
23,37,2012-02-06,5.9,6.236,5.978,6.335500000000001,6.582333333333334,6.402368421052632,6.402368421052632,6.402368421052632,6.402368421052632,49.17,2901.99,1344.33,12845.13,42.75,-0.4499999999999993,0.10000000000000142,-3.6700000000000728,-0.5700000000001637,-17.100000000000364,0.240000000000002,-0.07086614173228335,0.002037905033625462,-0.001263052112084715,-0.0004238233325899053,-0.0013294739714653186,0.005645730416372665
24,38,2012-02-07,5.88,6.156,6.075,6.274500000000001,6.545000000000001,6.38897435897436,6.38897435897436,6.38897435897436,6.38897435897436,49.28,2904.08,1347.05,12878.2,42.75,-0.020000000000000462,0.10999999999999943,2.0900000000001455,2.7200000000000273,33.07000000000153,0.0,-0.0033898305084746542,0.002237136465324373,0.0007201954520863772,0.002023312728273584,0.0025745165677577052,0.0
25,39,2012-02-08,5.87,6.0600000000000005,6.072,6.218000000000001,6.510666666666667,6.3759999999999994,6.3759999999999994,6.3759999999999994,6.3759999999999994,49.07,2915.86,1349.96,12883.95,43.7,-0.009999999999999787,-0.21000000000000085,11.7800000000002,2.910000000000082,5.75,0.9500000000000028,-0.0017006802721088073,-0.004261363636363653,0.004056362083689224,0.002160276159014203,0.0004464909692348309,0.02222222222222229
26,40,2012-02-09,5.89,5.938000000000001,6.103,6.165,6.468999999999999,6.364146341463415,6.364146341463415,6.364146341463415,6.364146341463415,49.0,2927.23,1351.95,12890.46,43.96,0.019999999999999574,-0.07000000000000028,11.36999999999989,1.990000000000009,6.509999999998399,0.259999999999998,0.00340715502555359,-0.0014265335235378088,0.0038993641670038654,0.0014741177516370922,0.0005052798248982959,0.005949656750572036
27,41,2012-02-10,5.88,5.884,6.069000000000001,6.1205,6.4206666666666665,6.352619047619048,6.352619047619048,6.352619047619048,6.352619047619048,48.15,2903.88,1342.64,12801.23,43.96,-0.009999999999999787,-0.8500000000000014,-23.34999999999991,-9.309999999999945,-89.22999999999956,0.0,-0.001697792869269913,-0.01734693877551023,-0.007976824506444628,-0.006886349347239132,-0.006922173452305004,0.0
28,44,2012-02-13,5.79,5.8100000000000005,5.9350000000000005,5.9885,6.288666666666667,6.313111111111111,6.313111111111111,6.313111111111111,6.313111111111111,48.03,2931.39,1351.77,12874.04,43.96,-0.08999999999999986,-0.11999999999999744,27.509999999999764,9.129999999999882,72.81000000000131,0.0,-0.015306122448979567,-0.0024922118380061773,0.009473531964130668,0.006800035750461688,0.005687734694244328,0.0
29,45,2012-02-14,5.8,5.792,5.865,5.935499999999999,6.243666666666666,6.30195652173913,6.30195652173913,6.30195652173913,6.30195652173913,47.61,2931.83,1350.5,12878.28,43.96,0.009999999999999787,-0.4200000000000017,0.44000000000005457,-1.2699999999999818,4.239999999999782,0.0,0.0017271157167529857,-0.00874453466583389,0.00015009944087960135,-0.0009395089401303342,0.0003293449453318291,0.0
30,46,2012-02-15,5.08,5.632000000000001,5.758,5.8745,6.176333333333334,6.27595744680851,6.27595744680851,6.27595744680851,6.27595744680851,47.43,2915.83,1343.23,12780.95,43.96,-0.7199999999999998,-0.17999999999999972,-16.0,-7.269999999999982,-97.32999999999993,0.0,-0.12413793103448272,-0.003780718336483926,-0.005457342342495984,-0.0053831914105886575,-0.00755768627487521,0.0
31,47,2012-02-16,4.98,5.486000000000001,5.6659999999999995,5.822,6.112333333333335,6.248958333333333,6.248958333333333,6.248958333333333,6.248958333333333,48.17,2959.85,1358.04,12904.08,43.96,-0.09999999999999964,0.740000000000002,44.01999999999998,14.809999999999945,123.1299999999992,0.0,-0.01968503937007867,0.015601939700611469,0.01509690208276888,0.011025662023629569,0.009633869156831001,0.0
32,48,2012-02-17,4.8,5.290000000000001,5.558,5.8165,6.035666666666668,6.219387755102041,6.219387755102041,6.219387755102041,6.219387755102041,47.03,2951.78,1361.23,12949.87,43.96,-0.1800000000000006,-1.1400000000000006,-8.069999999999709,3.1900000000000546,45.79000000000087,0.0,-0.03614457831325313,-0.023666182271123118,-0.002726489518049803,0.002348973520662171,0.0035484900899561125,0.0
33,52,2012-02-21,4.58,4.642,5.064,5.5525,5.731,6.097358490566038,6.097358490566038,6.097358490566038,6.097358490566038,48.45,2948.57,1362.21,12965.69,45.8599,-0.21999999999999975,1.4200000000000017,-3.2100000000000364,0.9800000000000182,15.819999999999709,1.8999000000000024,-0.04583333333333328,0.030193493514777837,-0.00108747941919792,0.0007199371156968463,0.0012216338851277818,0.043218835304822616
34,53,2012-02-22,4.59,4.6,4.945,5.468,5.666666666666667,6.069444444444445,6.069444444444445,6.069444444444445,6.069444444444445,49.44,2933.17,1357.66,12938.67,46.38,0.009999999999999787,0.9899999999999949,-15.400000000000091,-4.5499999999999545,-27.020000000000437,0.5200999999999993,0.0021834061135370714,0.020433436532507634,-0.005222870747514928,-0.0033401604745229843,-0.002083961594022411,0.011341062671309778
35,54,2012-02-23,5.22,4.6979999999999995,4.888,5.4115,5.621666666666667,6.054,6.054,6.054,6.054,49.58,2956.98,1363.46,12984.69,47.048,0.6299999999999999,0.14000000000000057,23.809999999999945,5.7999999999999545,46.02000000000044,0.6679999999999993,0.1372549019607843,0.0028317152103559985,0.008117497451562625,0.004272056332218637,0.003556779792668059,0.014402759810263028
36,55,2012-02-24,5.22,4.866,4.83,5.3475,5.567000000000001,6.039107142857143,6.039107142857143,6.039107142857143,6.039107142857143,48.86,2963.75,1365.74,12982.95,47.94,0.0,-0.7199999999999989,6.769999999999982,2.2799999999999727,-1.7399999999997817,0.8919999999999959,0.0,-0.01452198467123838,0.002289498068975773,0.0016722162733046606,-0.0001340039692899701,0.01895936065295009
37,58,2012-02-27,5.1,5.144,4.872,5.214999999999999,5.501666666666667,5.9910169491525425,5.9910169491525425,5.9910169491525425,5.9910169491525425,48.51,2966.16,1367.59,12981.51,47.45,-0.1200000000000001,-0.3500000000000014,2.4099999999998545,1.849999999999909,-1.4400000000005093,-0.4899999999999949,-0.022988505747126457,-0.007163323782234986,0.0008131590046393435,0.0013545770058722077,-0.00011091469966382905,-0.010221109720483831
