Date,Close/Last,Volume,Open,High,Low
05/20/2021,34084.15,324395506,33906.3,34233.4,33872.41
05/19/2021,33896.04,353998693,33545.65,33945.81,33473.8
05/18/2021,34060.66,301781621,34263.09,34408.99,34044.1
05/17/2021,34327.79,293356244,34375.29,34383.84,34176.65
05/14/2021,34382.13,307383987,34050.86,34454.05,34050.86
05/13/2021,34021.45,352805628,33624.74,34181.77,33623.49
05/12/2021,33587.66,383577786,34206.4,34207.87,33555.22
05/11/2021,34269.16,413181901,34572.74,34572.74,34075.31
05/10/2021,34742.82,370038457,34785.27,35091.56,34741.57
05/07/2021,34777.76,311627548,34578.27,34811.39,34464.31
05/06/2021,34548.53,317117461,34245.11,34561.29,34185.06
05/05/2021,34230.34,255811646,34163.99,34331.2,34039.66
05/04/2021,34133.03,410172302,34080.2,34147.78,33765.68
05/03/2021,34113.23,291339877,33904.89,34221.06,33904.89
04/30/2021,33874.85,376105712,33988.75,33988.75,33784.96
04/29/2021,34060.36,409604111,33855.64,34087.21,33744.28
04/28/2021,33820.38,353023623,33860.46,33946.6,33805.56
04/27/2021,33984.93,294947064,33932.13,34043.98,33870.46
04/26/2021,33981.57,285406440,34117.78,34148.94,33941.37
04/23/2021,34043.49,349669057,33804.52,34157.57,33713.29
04/22/2021,33815.9,346575196,34109.88,34126.57,33717.19
04/21/2021,34137.31,293512254,33808.3,34160.34,33773.8
04/20/2021,33821.3,354199421,34034.18,34034.18,33687.01
04/19/2021,34077.63,315622449,34182.38,34182.38,33980.56
04/16/2021,34200.67,348181803,34058.16,34256.75,34058.16
04/15/2021,34035.99,321833586,33788.53,34068.73,33788.53
04/14/2021,33730.89,318672305,33724.81,33911.25,33668.95
04/13/2021,33677.27,329999940,33721.16,33741.64,33545.84
04/12/2021,33745.4,329018654,33775.06,33786.19,33665.54
04/09/2021,33800.6,317816565,33526.19,33810.87,33526.19
04/08/2021,33503.57,306194502,33469.89,33506.8,33342.64
04/07/2021,33446.26,279877506,33444.98,33521.76,33347.96
04/06/2021,33430.24,298306719,33500.02,33544.79,33380.43
04/05/2021,33527.19,345154648,33222.38,33617.95,33222.38
04/01/2021,33153.21,318342433,33054.58,33167.17,32985.35
03/31/2021,32981.55,418638143,33116.04,33173.77,32980.57
03/30/2021,33066.96,309568606,33127.88,33170.93,32988.92
03/29/2021,33171.37,351610590,33087.55,33259,32905.13
03/26/2021,33072.88,383452285,32681.07,33098.83,32681.07
03/25/2021,32619.48,413490634,32346.81,32672.69,32071.41
03/24/2021,32420.06,405055025,32470.88,32787.99,32418.15
03/23/2021,32423.15,388128938,32691.5,32753.77,32356.28
03/22/2021,32731.2,384319316,32601.82,32810.35,32512.53
03/19/2021,32627.97,811892502,32858.36,32858.36,32505.07
03/18/2021,32862.3,421021919,32928.16,33227.78,32831.25
03/17/2021,33015.37,391809674,32825.52,33047.58,32782.18
03/16/2021,32825.95,387907889,32966.75,32966.75,32778.23
03/15/2021,32953.46,362084053,32798.84,32973.4,32629.75
03/12/2021,32778.64,348286819,32462.4,32793.32,32462.4
03/11/2021,32485.59,402404342,32354.5,32661.59,32345.7
03/10/2021,32297.02,410225481,31906.96,32389.5,31906.96
03/09/2021,31832.74,463744415,31892.35,32150.32,31822.64
03/08/2021,31802.44,499577604,31666.85,32148.04,31512.15
03/05/2021,31496.3,505347596,31029.18,31580.33,30766.81
03/04/2021,30924.14,551231883,31289.01,31461.97,30547.53
03/03/2021,31270.09,411608017,31352.96,31563.31,31260.14
03/02/2021,31391.52,341279622,31535.37,31623.27,31377.16
03/01/2021,31535.51,387580310,31065.9,31668.34,31065.9
02/26/2021,30932.37,538907029,31401.29,31450.89,30911.37
02/25/2021,31402.01,458959961,31955.94,31984.77,31293.32
02/24/2021,31961.86,413352552,31499.75,32009.64,31421.29
02/23/2021,31537.35,461919208,31501.89,31653.38,31158.76
02/22/2021,31521.69,389675104,31381.12,31653.48,31286.57
02/19/2021,31494.32,353065415,31504.13,31647.53,31469.34
02/18/2021,31493.34,325989398,31558.6,31558.6,31285.32
02/17/2021,31613.02,345858293,31485.61,31643.7,31338.76
02/16/2021,31522.75,336992511,31472.08,31608.63,31443.48
02/12/2021,31458.4,266370407,31420.8,31475.31,31347.8
02/11/2021,31430.7,284681675,31466.49,31543.82,31244.36
02/10/2021,31437.8,328392889,31428.02,31511.44,31221.32
02/09/2021,31375.83,310138270,31359.88,31439.47,31245.86
02/08/2021,31385.76,328411166,31191.2,31386.1,31191.2
02/05/2021,31148.24,295001306,31093.81,31252.18,31083.22
02/04/2021,31055.86,341492436,30737.78,31065.96,30737.78
02/03/2021,30723.6,307312552,30689.65,30793.41,30521.31
02/02/2021,30687.48,338174809,30276.88,30840.54,30276.88
02/01/2021,30211.91,350235375,30054.73,30335.91,30014.97
01/29/2021,29982.62,538043466,30553.91,30553.91,29856.3
