Date,Close/Last,Volume,Open,High,Low
05/19/2021,18.79,25078,18.9,18.9,18.36
05/18/2021,19.4754,9916,19.58,19.6221,19.2
05/17/2021,19.6414,19468,19.51,19.67,19.41
05/14/2021,19.356,25731,19.16,19.38,19.16
05/13/2021,18.9841,57352,18.99,19.29,18.77
05/12/2021,19.575,58066,19.56,19.819,19.55
05/11/2021,19.49,61585,19.09,19.49,19.081
05/10/2021,19.3,47977,19.47,19.47,19.01
05/07/2021,19.23,18457,19.01,19.3299,19
05/06/2021,19.249,16073,19.45,19.45,19.12
05/05/2021,19.34,14866,19.6,19.69,19.23
05/04/2021,19.42,37666,19.29,19.43,19.12
05/03/2021,19,13159,18.76,19.039,18.76
04/30/2021,18.72,17984,18.8,18.8,18.59
04/29/2021,19.12,17470,19.13,19.2399,18.9101
04/28/2021,18.84,23017,18.81,18.98,18.74
04/27/2021,18.61,8404,18.48,18.63,18.3966
04/26/2021,18.31,8548,18.13,18.3644,18.09
04/23/2021,18.3587,5723,18.429,18.429,18.25
04/22/2021,18.16,4518,18.2,18.23,18.0078
04/21/2021,18.03,14527,18.12,18.31,18.03
04/20/2021,18.42,12244,18.69,18.732,18.19
04/19/2021,18.69,6478,18.62,18.7,18.62
04/16/2021,18.63,5234,18.67,18.675,18.58
04/15/2021,18.69,8283,18.62,18.7499,18.62
04/14/2021,18.62,31329,18.19,18.7499,18.19
04/13/2021,17.95,13183,17.95,17.97,17.8405
04/12/2021,17.73,24743,17.85,17.956,17.65
04/09/2021,17.5853,11551,17.53,17.625,17.53
04/08/2021,17.67,8854,17.61,17.67,17.52
04/07/2021,17.674,9943,17.6,17.73,17.33
04/06/2021,17.67,35367,17.805,17.988,17.58
04/05/2021,17.43,49299,17.81,17.81,17.145
04/01/2021,18.11,47181,17.87,18.18,17.54
03/31/2021,17.52,32436,17.68,17.945,17.415
03/30/2021,17.7385,7326,17.74,17.93,17.6869
03/29/2021,18.09,16751,17.85,18.0999,17.681
03/26/2021,17.91,50618,17.94,18.02,17.811
03/25/2021,17.26,63422,17.5,17.56,17
03/24/2021,17.92,22521,17.62,18.02,17.59
03/23/2021,17.04,31686,17.45,17.65,16.98
03/22/2021,17.95,17190,18.13,18.15,17.95
03/19/2021,18.01,44730,17.56,18.06,17.37
03/18/2021,17.46,73873,18.47,18.493,17.23
03/17/2021,18.76,22583,18.73,18.89,18.6135
03/16/2021,18.82,27417,18.75,18.91,18.6271
03/15/2021,19,19549,18.89,19,18.65
03/12/2021,19.04,22777,19.06,19.1397,18.94
03/11/2021,19.15,20274,18.9,19.15,18.7701
03/10/2021,18.74,23141,18.51,18.8032,18.39
03/09/2021,18.4793,45942,18.82,18.82,18.4793
03/08/2021,18.68,78221,18.92,18.94,18.6008
03/05/2021,19.067,81869,18.9,19.08,18.82
03/04/2021,18.47,69625,17.95,18.62,17.775
03/03/2021,17.64,42903,17.44,17.8,17.44
03/02/2021,17.1588,21215,17.58,17.58,17.1588
03/01/2021,17.36,59521,17.81,17.81,17.27
02/26/2021,17.6726,26909,18.06,18.06,17.645
02/25/2021,18.18,37921,18.1,18.25,18.05
02/24/2021,18.2,47720,18,18.28,17.88
02/23/2021,17.82,57641,17.63,17.87,17.42
02/22/2021,17.63,84197,17.31,17.709,17.31
02/19/2021,16.9882,27202,17.27,17.3,16.94
02/18/2021,17.23,44479,17.6,17.6,17.17
02/17/2021,17.53,24118,17.27,17.53,17.18
02/16/2021,17.35,73877,17.24,17.35,17.11
02/12/2021,17.075,40206,16.62,17.15,16.62
02/11/2021,16.67,29190,16.85,16.859,16.61
02/10/2021,16.83,113497,16.82,16.9,16.73
02/09/2021,16.76,132416,16.58,16.77,16.52
02/08/2021,16.66,35098,16.49,16.67,16.4899
02/05/2021,16.3346,19695,16.42,16.42,16.265
